Company/Location,Device Count ,Date
Crunch Fitness Fargo,12,11/23/2022
Palm Beach Tan [35 locations],35,11/28/2022
Catalyst Moreno Valley,5,11/28/2022
Catalyst Silver Lake,3,11/28/2022
Crunch Fitness Lubbock,1,11/29/2022
Greenlight Spearfish,3,11/30/2022
The Hi Line Co Arlee,3,11/30/2022
The Hi Line Co Agnes,3,11/30/2022
Erba Markets,6,12/5/2022
Lemonnade,4,12/8/2022
Bryan's Green Care,3,12/13/2022
Zen Leaf Reno,1,12/13/2022
Broadyway Cannabis Market Downtown Portland,2,12/14/2022
B'leaf Wellness Centre,3,12/15/2022
Forbins Reserve,2,12/15/2022
Crunch Fitness Norman,3,12/15/2022
Zen Leaf Canton,1,12/16/2022
Its 420 Time,1,12/19/2022
Fluent Pensacola (9 Mile Rd),4,12/21/2022
Las Vegas ReLeaf ,13,12/22/2022
Crunch Fitness Gainesville,1,12/30/2022
B'Leaf Wellness Centre,1,12/30/2022
